emotion,word,odds,freq
annoyance,baiting,3.33,0.000
annoyance,countdown,3.33,0.000
annoyance,imbecile,3.33,0.000
annoyance,grosses,3.33,0.000
annoyance,tyrants,3.33,0.000
annoyance,romanian,3.33,0.000
annoyance,envoy,3.33,0.000
annoyance,fumbles,3.33,0.000
annoyance,peta,3.31,0.000
annoyance,irritated,3.30,0.000
annoyance,aloof,3.26,0.000
annoyance,mug,3.24,0.000
annoyance,bastard,3.23,0.000
annoyance,romance,3.23,0.000
annoyance,prick,3.22,0.000
annoyance,annoyance,3.16,0.000
annoyance,nasty,3.16,0.000
annoyance,discrimination,3.14,0.000
annoyance,sloppy,3.13,0.000
annoyance,dice,3.09,0.000
annoyance,insufferable,3.08,0.000
annoyance,lame,3.06,0.000
annoyance,cowards,3.06,0.000
annoyance,ignorance,3.04,0.000
annoyance,worse,3.04,0.001
annoyance,being,3.02,0.003
annoyance,blamed,3.02,0.000
annoyance,arguing,3.02,0.000
annoyance,rude,3.01,0.000
approval,agree,24.39,0.003
approval,not,12.37,0.014
approval,don,11.42,0.009
approval,agreed,11.37,0.001
approval,true,11.16,0.002
approval,yes,11.12,0.003
approval,yeah,8.46,0.004
approval,disagree,8.35,0.001
approval,right,7.73,0.004
approval,doesn,7.13,0.003
approval,wrong,7.01,0.002
approval,nope,6.75,0.001
approval,but,6.47,0.011
approval,correct,6.26,0.001
approval,fair,6.05,0.001
approval,think,6.01,0.005
approval,believe,5.88,0.002
approval,exactly,5.79,0.001
approval,nah,5.76,0.001
approval,yep,5.47,0.001
approval,definitely,5.28,0.001
approval,sure,5.24,0.002
approval,unpopular,5.23,0.000
approval,fine,5.11,0.001
approval,accurate,4.57,0.000
approval,illegal,4.42,0.000
approval,unacceptable,4.39,0.000
approval,sense,4.34,0.001
approval,prefer,4.29,0.000
approval,gear,4.25,0.000
approval,opinion,4.20,0.001
approval,equal,4.18,0.000
approval,isn,3.98,0.002
approval,incorrect,3.96,0.000
approval,completely,3.94,0.001
approval,violating,3.94,0.000
approval,traits,3.87,0.000
approval,deal,3.86,0.001
approval,irrelevant,3.86,0.000
approval,with,3.85,0.009
approval,anything,3.84,0.002
approval,unh,3.84,0.000
approval,recommend,3.76,0.000
approval,accept,3.74,0.000
approval,dull,3.71,0.000
approval,abortions,3.62,0.000
approval,gucci,3.57,0.000
approval,understandable,3.56,0.000
approval,refuse,3.56,0.000
approval,aimed,3.55,0.000
approval,downvoted,3.50,0.000
approval,however,3.47,0.000
approval,kabhi,3.43,0.000
approval,can,3.39,0.007
approval,therefore,3.35,0.000
approval,ditto,3.34,0.000
approval,amend,3.31,0.000
approval,good,3.31,0.005
approval,authority,3.30,0.000
approval,unreliable,3.28,0.000
approval,that,3.28,0.025
approval,upvoted,3.27,0.000
approval,fewer,3.27,0.000
approval,totally,3.27,0.001
approval,point,3.26,0.001
approval,way,3.26,0.003
approval,rights,3.26,0.000
approval,problems,3.25,0.000
approval,ads,3.25,0.000
approval,argument,3.23,0.000
approval,bad,3.20,0.003
approval,deprecating,3.19,0.000
approval,shouldn,3.19,0.000
approval,deserve,3.19,0.000
approval,factor,3.17,0.000
approval,enough,3.16,0.001
approval,romance,3.15,0.000
approval,relevant,3.14,0.000
approval,favoured,3.13,0.000
approval,authorities,3.13,0.000
approval,rig,3.13,0.000
approval,baiting,3.13,0.000
approval,obj,3.13,0.000
approval,saquon,3.13,0.000
approval,undocumented,3.13,0.000
approval,skybound,3.13,0.000
approval,envoy,3.13,0.000
approval,useful,3.11,0.000
approval,sexual,3.10,0.000
approval,absolutely,3.08,0.001
approval,fully,3.05,0.000
approval,want,3.05,0.003
caring,you,11.26,0.062
caring,worry,10.87,0.004
caring,careful,8.91,0.002
caring,stay,8.48,0.004
caring,your,7.99,0.019
caring,bless,7.97,0.002
caring,yourself,7.60,0.005
caring,help,7.14,0.005
caring,luck,7.08,0.004
caring,safe,7.03,0.002
caring,concerned,6.41,0.001
caring,care,5.74,0.003
caring,strong,5.69,0.002
caring,better,4.96,0.006
caring,pray,4.84,0.001
caring,praying,4.33,0.001
caring,outlive,4.25,0.000
caring,need,3.97,0.005
caring,get,3.92,0.010
caring,don,3.81,0.010
caring,calm,3.71,0.001
caring,please,3.70,0.003
caring,hope,3.69,0.005
caring,sins,3.69,0.000
caring,best,3.68,0.004
caring,feel,3.66,0.005
caring,protect,3.64,0.001
caring,happyfriendlybot,3.60,0.000
caring,worries,3.48,0.001
caring,okay,3.47,0.002
caring,keep,3.46,0.003
caring,therapy,3.44,0.001
caring,take,3.38,0.004
caring,suggest,3.22,0.001
caring,move,3.17,0.002
caring,good,3.16,0.008
caring,life,3.12,0.003
confusion,confused,18.48,0.005
confusion,why,10.55,0.011
confusion,sure,9.73,0.008
confusion,what,9.30,0.019
confusion,confusing,7.54,0.001
confusion,understand,7.31,0.004
confusion,idk,6.71,0.002
confusion,don,6.48,0.013
confusion,know,6.15,0.009
confusion,confusion,5.74,0.001
confusion,doubt,5.15,0.001
confusion,maybe,5.14,0.004
confusion,idea,5.09,0.003
confusion,not,4.91,0.017
confusion,how,4.87,0.009
confusion,clue,4.00,0.001
confusion,doubtful,3.86,0.000
confusion,mice,3.74,0.000
confusion,puzzled,3.62,0.000
confusion,metaphors,3.45,0.000
confusion,sephardic,3.45,0.000
confusion,causalchildabuse,3.45,0.000
confusion,beirt,3.45,0.000
confusion,did,3.36,0.005
confusion,unsure,3.32,0.000
confusion,oooh,3.29,0.000
confusion,confuses,3.27,0.000
confusion,does,3.23,0.003
confusion,weeb,3.10,0.000
confusion,razors,3.09,0.000
confusion,conditioner,3.09,0.000
confusion,feints,3.09,0.000
confusion,scope,3.01,0.000
curiosity,curious,22.34,0.004
curiosity,what,17.84,0.022
curiosity,why,12.80,0.009
curiosity,how,10.71,0.011
curiosity,did,10.15,0.007
curiosity,curiosity,9.38,0.001
curiosity,does,8.81,0.004
curiosity,you,8.03,0.041
curiosity,where,6.55,0.004
curiosity,interesting,6.06,0.002
curiosity,are,5.83,0.013
curiosity,elaborate,5.18,0.000
curiosity,wondering,4.94,0.001
curiosity,explain,4.64,0.001
curiosity,wait,4.58,0.002
curiosity,anyone,4.49,0.002
curiosity,wonder,4.34,0.001
curiosity,who,3.92,0.005
curiosity,any,3.71,0.003
curiosity,link,3.64,0.001
curiosity,question,3.57,0.001
curiosity,mean,3.49,0.003
curiosity,sniff,3.43,0.000
curiosity,sb2,3.39,0.000
curiosity,bojangles,3.39,0.000
curiosity,causalchildabuse,3.39,0.000
curiosity,rny,3.39,0.000
curiosity,themes,3.39,0.000
curiosity,beirt,3.39,0.000
curiosity,envoy,3.39,0.000
curiosity,happened,3.33,0.001
curiosity,know,3.29,0.006
curiosity,featured,3.21,0.000
curiosity,would,3.16,0.007
curiosity,oooh,3.12,0.000
curiosity,shooters,3.06,0.000
curiosity,theocracy,3.03,0.000
curiosity,helmets,3.03,0.000
curiosity,bitrate,3.03,0.000
curiosity,miner,3.03,0.000
curiosity,precedence,3.03,0.000
curiosity,newsroom,3.03,0.000
curiosity,transporting,3.03,0.000
curiosity,crit,3.02,0.000
curiosity,razors,3.02,0.000
desire,wish,29.04,0.033
desire,want,7.91,0.015
desire,wanted,5.34,0.004
desire,could,5.28,0.010
desire,ambitious,4.31,0.000
desire,hope,3.92,0.008
desire,dream,3.75,0.002
desire,need,3.29,0.006
desire,wanna,3.16,0.002
desire,bdsm,3.15,0.000
disappointment,disappointing,10.57,0.002
disappointment,disappointed,9.71,0.002
disappointment,bad,8.16,0.008
disappointment,disappointment,7.46,0.001
disappointment,unfortunately,6.59,0.002
disappointment,upset,6.11,0.001
disappointment,depressing,6.06,0.001
disappointment,miss,5.49,0.002
disappointment,upsetting,5.20,0.000
disappointment,lost,5.01,0.002
disappointment,missed,5.01,0.002
disappointment,disaster,4.60,0.000
disappointment,hurt,3.87,0.001
disappointment,tried,3.75,0.001
disappointment,disappoints,3.62,0.000
disappointment,sword,3.58,0.000
disappointment,rtts,3.45,0.000
disappointment,dupont,3.45,0.000
disappointment,bournemouth,3.09,0.000
disappointment,dissapointed,3.09,0.000
disappointment,boring,3.02,0.001
disappointment,worst,3.02,0.002
disapproval,not,14.93,0.024
disapproval,don,12.73,0.015
disapproval,disagree,8.32,0.001
disapproval,nope,7.74,0.001
disapproval,doesn,6.74,0.004
disapproval,wrong,6.33,0.003
disapproval,nah,5.88,0.001
disapproval,unpopular,5.58,0.000
disapproval,isn,4.67,0.003
disapproval,refuse,4.38,0.000
disapproval,unh,4.15,0.000
disapproval,downvoted,4.04,0.001
disapproval,illegal,4.04,0.001
disapproval,dont,4.00,0.002
disapproval,bad,3.97,0.004
disapproval,think,3.86,0.006
disapproval,irrelevant,3.85,0.000
disapproval,unacceptable,3.78,0.000
disapproval,incorrect,3.76,0.000
disapproval,shouldn,3.62,0.001
disapproval,gear,3.58,0.000
disapproval,ads,3.47,0.000
disapproval,dull,3.47,0.000
disapproval,intentionally,3.46,0.000
disapproval,violating,3.43,0.000
disapproval,authorities,3.39,0.000
disapproval,baiting,3.39,0.000
disapproval,undocumented,3.39,0.000
disapproval,skybound,3.39,0.000
disapproval,false,3.36,0.000
disapproval,anything,3.31,0.002
disapproval,treatment,3.27,0.000
disapproval,distasteful,3.21,0.000
disapproval,provide,3.18,0.000
disapproval,traits,3.07,0.000
disapproval,fake,3.04,0.001
disapproval,hate,3.03,0.002
disapproval,bds,3.03,0.000
disapproval,ladders,3.03,0.000
disapproval,patently,3.03,0.000
disapproval,recreate,3.03,0.000
disapproval,starve,3.03,0.000
disapproval,att,3.03,0.000
disapproval,superficially,3.03,0.000
disapproval,applauded,3.03,0.000
disapproval,believe,3.03,0.002
disapproval,spiked,3.01,0.000
disapproval,disrespected,3.01,0.000
disapproval,jokic,3.01,0.000
disapproval,matinee,3.01,0.000
disapproval,jailor,3.01,0.000
disgust,disgusting,22.53,0.011
disgust,awful,13.25,0.008
disgust,worst,12.03,0.009
disgust,worse,11.59,0.008
disgust,weird,7.92,0.007
disgust,nasty,7.32,0.002
disgust,disgusted,5.46,0.001
disgust,ugly,5.23,0.003
disgust,creepy,4.97,0.002
disgust,gross,4.71,0.002
disgust,horrible,4.02,0.002
disgust,disgust,3.90,0.000
disgust,yuck,3.67,0.000
disgust,terrible,3.52,0.003
disgust,eww,3.51,0.000
disgust,baiting,3.51,0.000
disgust,brazzers,3.51,0.000
disgust,repulsive,3.42,0.000
disgust,hideous,3.41,0.000
disgust,smells,3.26,0.001
disgust,ugh,3.17,0.002
disgust,ants,3.16,0.000
disgust,mattresses,3.14,0.000
embarrassment,embarrassing,12.04,0.008
embarrassment,shame,10.31,0.013
embarrassment,awkward,10.29,0.009
embarrassment,embarrassment,8.15,0.004
embarrassment,embarrassed,7.26,0.004
embarrassment,ashamed,7.16,0.004
embarrassment,shameful,3.83,0.001
embarrassment,embarassed,3.72,0.001
embarrassment,embarassing,3.72,0.001
embarrassment,oops,3.60,0.002
embarrassment,embarrass,3.21,0.001
embarrassment,juuls,3.21,0.001
embarrassment,secondhand,3.18,0.001
excitement,excited,20.64,0.012
excitement,happy,7.93,0.011
excitement,cake,7.78,0.004
excitement,wow,7.53,0.010
excitement,exciting,6.64,0.002
excitement,interesting,6.61,0.007
excitement,wait,6.17,0.007
excitement,birthday,5.34,0.002
excitement,merrily,4.98,0.001
excitement,yay,4.38,0.001
excitement,excitement,4.26,0.001
excitement,new,4.18,0.006
excitement,interested,4.15,0.002
excitement,omg,3.91,0.003
excitement,day,3.91,0.006
excitement,stoked,3.85,0.001
excitement,cakeday,3.71,0.001
excitement,cheers,3.53,0.002
excitement,hurrah,3.52,0.000
excitement,outstanding,3.43,0.000
excitement,titans,3.34,0.000
excitement,oatmeal,3.17,0.000
excitement,gucci,3.17,0.000
excitement,enthused,3.15,0.000
excitement,enthusiastic,3.15,0.000
excitement,exited,3.15,0.000
fear,scared,15.76,0.010
fear,afraid,15.25,0.010
fear,scary,14.79,0.008
fear,terrible,11.08,0.011
fear,terrifying,10.91,0.004
fear,fear,9.79,0.005
fear,horrible,8.29,0.006
fear,terrified,6.91,0.002
fear,scares,6.65,0.002
fear,dangerous,6.56,0.003
fear,horrifying,6.23,0.002
fear,cringe,5.54,0.003
fear,worried,5.36,0.003
fear,creepy,4.97,0.003
fear,scariest,4.73,0.001
fear,panic,4.55,0.001
fear,horror,4.33,0.002
fear,nightmare,4.06,0.002
fear,dreadful,3.93,0.001
fear,scare,3.53,0.001
fear,horrific,3.53,0.001
fear,dangerously,3.45,0.000
fear,frightening,3.30,0.001
fear,fears,3.03,0.000
gratitude,thanks,74.75,0.049
gratitude,thank,68.29,0.041
gratitude,for,23.36,0.044
gratitude,you,17.36,0.059
gratitude,sharing,16.98,0.003
gratitude,appreciate,15.25,0.004
gratitude,welcome,11.95,0.003
gratitude,congrats,10.95,0.002
gratitude,advice,10.82,0.002
gratitude,info,9.85,0.002
gratitude,much,8.51,0.007
gratitude,glad,8.09,0.004
gratitude,clarification,7.91,0.001
gratitude,input,7.81,0.001
gratitude,helpful,7.77,0.001
gratitude,feedback,6.58,0.000
gratitude,thankfully,6.57,0.000
gratitude,congratulations,6.53,0.001
gratitude,recommendation,6.38,0.000
gratitude,explaining,6.33,0.001
gratitude,thankful,6.22,0.000
gratitude,reply,5.96,0.001
gratitude,clarifying,5.91,0.000
gratitude,appreciated,5.62,0.001
gratitude,luck,5.57,0.002
gratitude,thx,5.54,0.000
gratitude,tip,5.36,0.001
gratitude,posting,5.11,0.001
gratitude,insight,5.02,0.000
gratitude,response,4.79,0.001
gratitude,kindly,4.77,0.000
gratitude,good,4.74,0.007
gratitude,very,4.72,0.004
gratitude,your,4.66,0.011
gratitude,sir,4.59,0.001
gratitude,words,4.50,0.001
gratitude,correcting,4.48,0.000
gratitude,suggestion,4.47,0.000
gratitude,encouragement,4.38,0.000
gratitude,informative,4.31,0.000
gratitude,perspective,4.23,0.000
gratitude,thankyou,4.16,0.000
gratitude,try,4.03,0.002
gratitude,needed,4.00,0.001
gratitude,greatly,3.99,0.000
gratitude,correction,3.97,0.000
gratitude,appreciation,3.85,0.000
gratitude,answering,3.84,0.000
gratitude,clearing,3.80,0.000
gratitude,okay,3.74,0.001
gratitude,detailed,3.72,0.000
gratitude,heads,3.71,0.000
gratitude,goodness,3.70,0.000
gratitude,reminding,3.69,0.000
gratitude,explanation,3.65,0.000
gratitude,stranger,3.64,0.001
gratitude,helps,3.62,0.001
gratitude,journey,3.56,0.000
gratitude,saved,3.54,0.001
gratitude,confirming,3.42,0.000
gratitude,reminder,3.33,0.000
gratitude,check,3.32,0.001
gratitude,laugh,3.31,0.001
gratitude,suggestions,3.27,0.000
gratitude,tips,3.25,0.000
gratitude,enlightening,3.22,0.000
gratitude,sense,3.18,0.001
gratitude,consideration,3.13,0.000
gratitude,letting,3.13,0.000
gratitude,affirmation,3.04,0.000
gratitude,roger,3.04,0.000
gratitude,clearest,3.04,0.000
gratitude,supermodel,3.04,0.000
gratitude,blessings,3.04,0.000
grief,died,5.85,0.025
grief,rip,4.33,0.013
joy,happy,30.85,0.022
joy,glad,26.28,0.017
joy,enjoy,19.10,0.008
joy,enjoyed,11.45,0.002
joy,fun,11.36,0.007
joy,cheers,9.09,0.003
joy,cake,8.64,0.003
joy,joy,7.47,0.001
joy,enjoying,7.46,0.001
joy,day,6.48,0.006
joy,happily,5.47,0.001
joy,birthday,5.22,0.001
joy,smile,4.97,0.001
joy,merrily,4.90,0.000
joy,enjoyable,4.83,0.000
joy,happiest,4.38,0.000
joy,cheered,4.37,0.000
joy,made,4.26,0.004
joy,cakeday,3.97,0.001
joy,happiness,3.95,0.001
joy,makes,3.88,0.004
joy,pleasure,3.83,0.001
joy,happier,3.77,0.000
joy,gladly,3.77,0.000
joy,good,3.50,0.008
joy,paycheck,3.46,0.000
joy,bunny,3.35,0.000
joy,finally,3.25,0.001
joy,hear,3.16,0.002
joy,congrats,3.13,0.001
joy,gucci,3.11,0.000
joy,cubes,3.10,0.000
joy,bistro,3.10,0.000
joy,favourite,3.06,0.001
love,love,75.16,0.072
love,loved,20.99,0.005
love,favorite,12.17,0.004
love,loves,11.72,0.003
love,loving,8.78,0.001
love,like,8.63,0.018
love,lovely,5.61,0.001
love,cute,4.92,0.002
love,name,4.79,0.027
love,favourite,4.67,0.001
love,username,4.56,0.001
love,this,4.33,0.022
love,scents,4.33,0.000
love,favorites,3.97,0.000
love,crush,3.86,0.000
love,chiiiiika,3.75,0.000
love,valentine,3.70,0.000
love,style,3.63,0.001
love,song,3.55,0.001
love,fav,3.54,0.000
love,liked,3.52,0.001
love,unconditional,3.46,0.000
love,4am,3.42,0.000
love,pilgrim,3.42,0.000
love,stitch,3.42,0.000
love,x65,3.42,0.000
love,gotta,3.32,0.001
love,koji,3.25,0.000
love,and,3.11,0.027
love,brotherly,3.06,0.000
love,fricking,3.06,0.000
love,ceremony,3.06,0.000
love,snuggling,3.06,0.000
love,labs,3.06,0.000
love,scott,3.06,0.000
love,delivers,3.06,0.000
love,mocks,3.06,0.000
love,sweet,3.05,0.001
love,much,3.03,0.004
nervousness,nervous,8.13,0.009
nervousness,worried,7.28,0.015
nervousness,anxiety,5.93,0.010
nervousness,anxious,3.91,0.004
nervousness,worrying,3.53,0.004
nervousness,demonize,3.31,0.002
optimism,hope,44.71,0.029
optimism,hopefully,18.45,0.004
optimism,luck,17.98,0.007
optimism,hoping,15.52,0.004
optimism,will,7.70,0.009
optimism,good,7.61,0.011
optimism,soon,7.50,0.002
optimism,better,6.00,0.005
optimism,wish,5.09,0.003
optimism,hopeful,4.67,0.000
optimism,future,4.54,0.001
optimism,confident,4.53,0.000
optimism,next,4.19,0.002
optimism,best,3.99,0.004
optimism,you,3.96,0.036
optimism,get,3.81,0.008
optimism,find,3.72,0.003
optimism,would,3.65,0.008
optimism,goes,3.64,0.001
optimism,someday,3.48,0.000
optimism,pours,3.43,0.000
optimism,abram,3.43,0.000
optimism,recovers,3.43,0.000
optimism,natal,3.43,0.000
optimism,paycheck,3.43,0.000
optimism,gets,3.37,0.002
optimism,probably,3.25,0.003
optimism,tomorrow,3.24,0.001
optimism,try,3.13,0.002
optimism,happyfriendlybot,3.11,0.000
optimism,prosperous,3.07,0.000
optimism,lasting,3.07,0.000
optimism,cheer,3.03,0.000
pride,proud,13.59,0.044
pride,pride,3.91,0.005
